class_name,mfcc_mean_matrix1,mfcc_mean_matrix2,mfcc_mean_matrix3,mfcc_mean_matrix4,mfcc_mean_matrix5,mfcc_mean_matrix6,mfcc_mean_matrix7,mfcc_mean_matrix8,mfcc_mean_matrix9,mfcc_mean_matrix10,mfcc_mean_matrix11,mfcc_mean_matrix12,mfcc_mean_matrix13,covariance_1_1,covariance_1_2,covariance_1_3,covariance_1_4,covariance_1_5,covariance_1_6,covariance_1_7,covariance_1_8,covariance_1_9,covariance_1_10,covariance_1_11,covariance_1_12,covariance_1_13,covariance_2_1,covariance_2_2,covariance_2_3,covariance_2_4,covariance_2_5,covariance_2_6,covariance_2_7,covariance_2_8,covariance_2_9,covariance_2_10,covariance_2_11,covariance_2_12,covariance_2_13,covariance_3_1,covariance_3_2,covariance_3_3,covariance_3_4,covariance_3_5,covariance_3_6,covariance_3_7,covariance_3_8,covariance_3_9,covariance_3_10,covariance_3_11,covariance_3_12,covariance_3_13,covariance_4_1,covariance_4_2,covariance_4_3,covariance_4_4,covariance_4_5,covariance_4_6,covariance_4_7,covariance_4_8,covariance_4_9,covariance_4_10,covariance_4_11,covariance_4_12,covariance_4_13,covariance_5_1,covariance_5_2,covariance_5_3,covariance_5_4,covariance_5_5,covariance_5_6,covariance_5_7,covariance_5_8,covariance_5_9,covariance_5_10,covariance_5_11,covariance_5_12,covariance_5_13,covariance_6_1,covariance_6_2,covariance_6_3,covariance_6_4,covariance_6_5,covariance_6_6,covariance_6_7,covariance_6_8,covariance_6_9,covariance_6_10,covariance_6_11,covariance_6_12,covariance_6_13,covariance_7_1,covariance_7_2,covariance_7_3,covariance_7_4,covariance_7_5,covariance_7_6,covariance_7_7,covariance_7_8,covariance_7_9,covariance_7_10,covariance_7_11,covariance_7_12,covariance_7_13,covariance_8_1,covariance_8_2,covariance_8_3,covariance_8_4,covariance_8_5,covariance_8_6,covariance_8_7,covariance_8_8,covariance_8_9,covariance_8_10,covariance_8_11,covariance_8_12,covariance_8_13,covariance_9_1,covariance_9_2,covariance_9_3,covariance_9_4,covariance_9_5,covariance_9_6,covariance_9_7,covariance_9_8,covariance_9_9,covariance_9_10,covariance_9_11,covariance_9_12,covariance_9_13,covariance_10_1,covariance_10_2,covariance_10_3,covariance_10_4,covariance_10_5,covariance_10_6,covariance_10_7,covariance_10_8,covariance_10_9,covariance_10_10,covariance_10_11,covariance_10_12,covariance_10_13,covariance_11_1,covariance_11_2,covariance_11_3,covariance_11_4,covariance_11_5,covariance_11_6,covariance_11_7,covariance_11_8,covariance_11_9,covariance_11_10,covariance_11_11,covariance_11_12,covariance_11_13,covariance_12_1,covariance_12_2,covariance_12_3,covariance_12_4,covariance_12_5,covariance_12_6,covariance_12_7,covariance_12_8,covariance_12_9,covariance_12_10,covariance_12_11,covariance_12_12,covariance_12_13,covariance_13_1,covariance_13_2,covariance_13_3,covariance_13_4,covariance_13_5,covariance_13_6,covariance_13_7,covariance_13_8,covariance_13_9,covariance_13_10,covariance_13_11,covariance_13_12,covariance_13_13,label
carnatic,70.51358791,23.07364828,-3.999219481,-10.90649943,6.539816326,-27.49772681,30.37510763,-12.10662721,-5.19771193,4.897676452,-19.16546891,12.97346334,-9.948235193,44.42916489,-10.13700903,-20.67607577,-25.72072351,-17.05656603,-23.05534361,-22.07922405,-23.3316082,-11.43593317,-10.24111305,-6.168622647,-14.56165517,-9.488657651,-10.13700903,11.53191495,9.935244966,5.469797662,3.363326736,-3.603221771,10.7132995,-3.879613594,-2.215379956,10.04384959,-5.690674462,6.806458552,0.349602743,-20.67607577,9.935244966,29.91842004,31.61251747,-3.699214454,21.2108181,-5.897344468,14.92873976,1.197132565,6.840182246,10.61255972,2.34714032,9.787451519,-25.72072351,5.469797662,31.61251747,51.26953798,21.57687482,24.83480851,-0.297239051,28.88705933,7.246109134,6.521425015,14.14452899,11.87684497,4.327602536,-17.05656603,3.363326736,-3.699214454,21.57687482,73.85235242,15.16171542,56.60491562,20.7639152,10.28815867,-0.218750458,-5.246965851,24.85769765,-15.70240384,-23.05534361,-3.603221771,21.2108181,24.83480851,15.16171542,119.5954329,28.07076113,52.74442751,11.09995344,-31.80390209,34.26693057,-25.5610945,16.25463891,-22.07922405,10.7132995,-5.897344468,-0.297239051,56.60491562,28.07076113,120.9815528,36.13995249,9.460848808,4.081486015,-38.88609571,20.74714712,-24.5303843,-23.3316082,-3.879613594,14.92873976,28.88705933,20.7639152,52.74442751,36.13995249,87.23832881,45.84718008,-11.02798537,16.12297099,-22.29834762,4.279977748,-11.43593317,-2.215379956,1.197132565,7.246109134,10.28815867,11.09995344,9.460848808,45.84718008,62.22029506,31.54718249,9.744099089,-5.890755418,2.421169092,-10.24111305,10.04384959,6.840182246,6.521425015,-0.218750458,-31.80390209,4.081486015,-11.02798537,31.54718249,82.73401553,9.379875299,35.19186198,-1.913800113,-6.168622647,-5.690674462,10.61255972,14.14452899,-5.246965851,34.26693057,-38.88609571,16.12297099,9.744099089,9.379875299,107.0053183,18.22594632,40.01979802,-14.56165517,6.806458552,2.34714032,11.87684497,24.85769765,-25.5610945,20.74714712,-22.29834762,-5.890755418,35.19186198,18.22594632,108.0389347,25.52326681,-9.488657651,0.349602743,9.787451519,4.327602536,-15.70240384,16.25463891,-24.5303843,4.279977748,2.421169092,-1.913800113,40.01979802,25.52326681,69.81533141,carnatic
carnatic,71.61795585,22.69333414,-5.132412615,-12.582836,5.188992374,-29.25627467,30.02816857,-12.12785724,-4.01467424,5.609896922,-20.93784117,11.01781011,-10.68872163,46.75088698,-10.58782709,-18.82554081,-26.09918815,-26.14882798,-26.8020733,-21.04215774,-13.81472438,-2.120400011,-6.604078757,-14.83998696,-22.74258122,-8.348970576,-10.58782709,11.19697251,9.45019121,7.443491087,8.016243565,-4.025097687,8.567897894,-5.533257416,-3.677559321,8.931613734,-1.538278888,11.45476512,-0.179775592,-18.82554081,9.45019121,26.64701586,30.50560048,3.498645429,21.01218431,-7.561842323,10.0151523,-2.908608671,3.939874067,18.92484067,8.6148658,9.088638453,-26.09918815,7.443491087,30.50560048,51.88553027,31.16974194,26.87300237,-2.021113948,19.50216646,-0.516318937,4.874803923,25.84031508,22.39034027,4.326242595,-26.14882798,8.016243565,3.498645429,31.16974194,79.01479892,16.65943679,49.34226486,11.58986605,3.373733054,3.00245808,-1.794181225,34.07442314,-15.11148358,-26.8020733,-4.025097687,21.01218431,26.87300237,16.65943679,114.0588441,18.78652508,44.62224836,4.605156231,-34.97931353,32.35244591,-26.79481,14.62277669,-21.04215774,8.567897894,-7.561842323,-2.021113948,49.34226486,18.78652508,108.2778692,31.09716721,10.28738794,3.496448115,-49.67251068,15.91760156,-22.48632971,-13.81472438,-5.533257416,10.0151523,19.50216646,11.58986605,44.62224836,31.09716721,82.50128732,45.73934958,-9.70876105,17.21584419,-24.46161111,9.979133768,-2.120400011,-3.677559321,-2.908608671,-0.516318937,3.373733054,4.605156231,10.28738794,45.73934958,63.1571421,33.73372983,14.95117503,-4.739962868,8.242149125,-6.604078757,8.931613734,3.939874067,4.874803923,3.00245808,-34.97931353,3.496448115,-9.70876105,33.73372983,86.50771047,25.9448518,47.1311761,2.814716685,-14.83998696,-1.538278888,18.92484067,25.84031508,-1.794181225,32.35244591,-49.67251068,17.21584419,14.95117503,25.9448518,129.4947147,30.6088567,41.07305266,-22.74258122,11.45476512,8.6148658,22.39034027,34.07442314,-26.79481,15.91760156,-24.46161111,-4.739962868,47.1311761,30.6088567,112.8944263,18.4268105,-8.348970576,-0.179775592,9.088638453,4.326242595,-15.11148358,14.62277669,-22.48632971,9.979133768,8.242149125,2.814716685,41.07305266,18.4268105,63.90150413,carnatic
carnatic,68.95121288,24.02921671,-2.289710103,-9.390297303,6.237358437,-28.17072315,29.32937002,-13.89906683,-7.078568516,4.863293292,-19.8604969,13.65861245,-9.679144702,37.76641492,-5.592080558,-13.91072886,-20.16676674,-13.48806362,-11.43434803,-13.22051732,-15.73740929,-5.093490641,-1.184866415,5.415845789,-9.739016821,-6.336951402,-5.592080558,9.58424421,5.727979347,1.388493649,2.256236158,-9.17088402,9.89918196,-4.184944139,-2.207077572,8.481395186,-5.515598699,8.019808426,-0.610881583,-13.91072886,5.727979347,19.63102994,20.95506709,-5.842019269,9.261153873,-7.831638629,9.920296754,-1.536481037,1.822085492,5.479192648,0.856299756,5.89090282,-20.16676674,1.388493649,20.95506709,38.27328272,15.06291091,10.65922126,-7.14745033,17.06453216,1.971749583,2.665768699,3.563743696,7.08922609,0.328744461,-13.48806362,2.256236158,-5.842019269,15.06291091,62.96296092,13.07085155,47.12350562,11.5704695,7.654171243,-0.33018155,-12.62233186,20.04175099,-12.93134874,-11.43434803,-9.17088402,9.261153873,10.65922126,13.07085155,122.2774388,30.24382241,50.47801713,6.831576522,-47.56743811,30.00040511,-30.88329995,14.92332587,-13.22051732,9.89918196,-7.831638629,-7.14745033,47.12350562,30.24382241,110.2514288,28.79627273,8.044478736,1.342758677,-37.31022599,20.46023164,-18.63376855,-15.73740929,-4.184944139,9.920296754,17.06453216,11.5704695,50.47801713,28.79627273,75.58910932,39.5026379,-16.01495516,13.73663999,-30.33871562,4.02057916,-5.093490641,-2.207077572,-1.536481037,1.971749583,7.654171243,6.831576522,8.044478736,39.5026379,53.86596209,23.20146919,6.620333483,-11.20482543,1.234343047,-1.184866415,8.481395186,1.822085492,2.665768699,-0.33018155,-47.56743811,1.342758677,-16.01495516,23.20146919,74.23417654,3.925614188,34.53401869,-7.237431302,5.415845789,-5.515598699,5.479192648,3.563743696,-12.62233186,30.00040511,-37.31022599,13.73663999,6.620333483,3.925614188,98.84618226,5.629382334,31.20294428,-9.739016821,8.019808426,0.856299756,7.08922609,20.04175099,-30.88329995,20.46023164,-30.33871562,-11.20482543,34.53401869,5.629382334,98.66038876,19.00497722,-6.336951402,-0.610881583,5.89090282,0.328744461,-12.93134874,14.92332587,-18.63376855,4.02057916,1.234343047,-7.237431302,31.20294428,19.00497722,64.84751322,carnatic
carnatic,82.96215311,1.152462986,-5.34844277,0.808343563,41.72180675,-35.9836808,25.61596183,-27.57452494,5.552914253,4.785493587,-22.96959499,13.13800728,-10.12304867,25.26259073,-23.30987753,-24.55472177,-7.133946087,6.956964951,0.496796109,-1.344778027,2.006982653,0.85254625,3.584744998,-1.178209382,3.028916708,-2.322450474,-23.30987753,55.58902553,29.38109056,-19.98726146,3.625371782,-26.80676405,-10.2361429,-28.46994528,-2.182160223,-30.73398462,-7.835185782,-17.47925467,13.4426981,-24.55472177,29.38109056,55.58441445,22.22627337,-35.177081,-0.707657301,-28.09140544,-13.47689179,-16.18393932,-11.53600611,-2.077857139,-6.417135958,5.114514287,-7.133946087,-19.98726146,22.22627337,58.65839308,-24.47479267,20.64680916,-3.232451991,10.78709768,-16.82837179,25.33035957,-4.549625043,23.07362922,-18.64236224,6.956964951,3.625371782,-35.177081,-24.47479267,117.0847799,-32.90424595,-3.332902653,-44.05153139,14.55218101,-16.17657762,-6.03003298,-24.07965271,0.576780806,0.496796109,-26.80676405,-0.707657301,20.64680916,-32.90424595,111.6594755,-6.588966667,36.73604347,14.36408626,-6.822058058,27.5260866,-14.50026357,14.32825472,-1.344778027,-10.2361429,-28.09140544,-3.232451991,-3.332902653,-6.588966667,150.7870801,67.75755872,-4.380007411,62.53339082,-36.48946903,55.30420497,-29.21513455,2.006982653,-28.46994528,-13.47689179,10.78709768,-44.05153139,36.73604347,67.75755872,135.8811541,29.91388915,38.69811553,28.84785954,12.47063106,-2.847281092,0.85254625,-2.182160223,-16.18393932,-16.82837179,14.55218101,14.36408626,-4.380007411,29.91388915,100.0974135,33.98659956,28.14994402,-21.48253634,-16.29875379,3.584744998,-30.73398462,-11.53600611,25.33035957,-16.17657762,-6.822058058,62.53339082,38.69811553,33.98659956,169.0823923,-0.200684282,30.15940531,-58.6304049,-1.178209382,-7.835185782,-2.077857139,-4.549625043,-6.03003298,27.5260866,-36.48946903,28.84785954,28.14994402,-0.200684282,113.0278983,-28.03477568,19.09330139,3.028916708,-17.47925467,-6.417135958,23.07362922,-24.07965271,-14.50026357,55.30420497,12.47063106,-21.48253634,30.15940531,-28.03477568,137.0768066,0.625860932,-2.322450474,13.4426981,5.114514287,-18.64236224,0.576780806,14.32825472,-29.21513455,-2.847281092,-16.29875379,-58.6304049,19.09330139,0.625860932,89.37560134,carnatic
carnatic,74.93529309,9.927803393,-4.175960206,-1.695382664,33.57515311,-42.56204305,27.5452432,-20.1078664,3.663150401,10.17741024,-9.370701234,4.330926195,-13.14179668,917.0411131,6.442360196,-56.81691712,-17.82443728,96.70768897,-167.4969099,77.20842604,-72.31033273,17.63200301,63.91596331,-50.85357159,43.87458053,-68.12024373,6.442360196,81.34171767,14.06959901,-58.65047617,-0.424603483,-14.46763251,-3.406183349,-33.59873806,2.045974138,-30.73154221,37.64448906,-46.89718468,39.54189926,-56.81691712,14.06959901,81.70602013,31.69568155,-30.3152561,34.89845233,-12.22844923,10.93413595,-10.6313264,-33.01332659,5.9257922,-20.0386332,20.79400994,-17.82443728,-58.65047617,31.69568155,105.8913475,18.97915984,5.869044828,17.16593523,24.53292122,-28.70297238,15.55549691,-27.58576903,38.6855642,-27.15834378,96.70768897,-0.424603483,-30.3152561,18.97915984,136.3494016,-32.13622698,52.93476528,-4.917608599,25.36373611,16.39891116,0.585792838,0.249385286,-14.99475172,-167.4969099,-14.46763251,34.89845233,5.869044828,-32.13622698,168.6380999,-44.26915294,34.2672825,26.52585642,-38.24655708,48.09025086,-41.78587042,35.92163113,77.20842604,-3.406183349,-12.22844923,17.16593523,52.93476528,-44.26915294,140.9700928,23.0631873,-24.07738498,21.97478803,-39.62262741,43.64710852,-47.96809979,-72.31033273,-33.59873806,10.93413595,24.53292122,-4.917608599,34.2672825,23.0631873,131.0446796,56.29118129,-25.37730387,6.372416122,-20.78032961,-14.45276337,17.63200301,2.045974138,-10.6313264,-28.70297238,25.36373611,26.52585642,-24.07738498,56.29118129,192.0343772,41.09234416,-9.640578692,-28.69815373,-23.84922654,63.91596331,-30.73154221,-33.01332659,15.55549691,16.39891116,-38.24655708,21.97478803,-25.37730387,41.09234416,156.3361266,-34.2582844,47.34139266,-64.32979243,-50.85357159,37.64448906,5.9257922,-27.58576903,0.585792838,48.09025086,-39.62262741,6.372416122,-9.640578692,-34.2582844,149.2325715,-53.56934895,44.43481192,43.87458053,-46.89718468,-20.0386332,38.6855642,0.249385286,-41.78587042,43.64710852,-20.78032961,-28.69815373,47.34139266,-53.56934895,153.1374779,-41.75883205,-68.12024373,39.54189926,20.79400994,-27.15834378,-14.99475172,35.92163113,-47.96809979,-14.45276337,-23.84922654,-64.32979243,44.43481192,-41.75883205,128.3914451,carnatic
carnatic,82.20498313,-0.73423153,-5.485470366,2.878286905,41.81595798,-33.10511454,27.929839,-24.89003743,2.768240051,2.990019147,-23.2561195,16.08764286,-8.870357482,29.74167335,-24.23816654,-22.04551468,-5.035588166,-0.740949108,-2.192054327,-9.16559408,-4.042767045,-6.948009292,0.504582204,-4.214914197,6.047132674,-1.297571323,-24.23816654,63.13751749,24.10687174,-26.40415305,19.94180791,-32.04261508,-9.71211907,-27.95447104,4.891398787,-39.04483749,-3.545549383,-31.61462511,17.70474868,-22.04551468,24.10687174,50.20157328,23.20457332,-32.72231393,7.703789932,-24.36974767,-8.360226281,-7.259716648,0.092146173,-2.201889834,-8.913669269,-1.100261103,-5.035588166,-26.40415305,23.20457332,60.75531301,-32.60132016,30.58623678,-4.692654038,10.30456178,-6.402022103,47.84546352,-9.171420027,20.13825418,-30.27912287,-0.740949108,19.94180791,-32.72231393,-32.60132016,142.1181592,-44.02706273,-8.208422237,-52.06739157,3.913830142,-52.52516537,-17.08268913,-40.63618425,18.00631866,-2.192054327,-32.04261508,7.703789932,30.58623678,-44.02706273,119.9042574,8.369457386,53.36849235,18.75750877,7.618858409,20.58746767,-9.310458191,0.210716289,-9.16559408,-9.71211907,-24.36974767,-4.692654038,-8.208422237,8.369457386,162.7407744,85.54477302,5.022611519,54.12115168,-24.7389384,60.34627301,-25.45977758,-4.042767045,-27.95447104,-8.360226281,10.30456178,-52.06739157,53.36849235,85.54477302,136.1441061,28.70638418,36.4605179,29.43095619,24.8741629,-1.446445531,-6.948009292,4.891398787,-7.259716648,-6.402022103,3.913830142,18.75750877,5.022611519,28.70638418,77.89166627,20.29443401,29.16363244,-7.781452367,-5.251941308,0.504582204,-39.04483749,0.092146173,47.84546352,-52.52516537,7.618858409,54.12115168,36.4605179,20.29443401,182.1876514,4.718780015,67.20369524,-62.31602472,-4.214914197,-3.545549383,-2.201889834,-9.171420027,-17.08268913,20.58746767,-24.7389384,29.43095619,29.16363244,4.718780015,111.5838967,-8.138616084,21.5223217,6.047132674,-31.61462511,-8.913669269,20.13825418,-40.63618425,-9.310458191,60.34627301,24.8741629,-7.781452367,67.20369524,-8.138616084,125.7413343,-15.40799292,-1.297571323,17.70474868,-1.100261103,-30.27912287,18.00631866,0.210716289,-25.45977758,-1.446445531,-5.251941308,-62.31602472,21.5223217,-15.40799292,85.00104099,carnatic
carnatic,76.85971986,8.122930349,-4.452397408,-7.549992572,36.76532652,-32.18785963,24.47882338,-25.52070718,8.239442025,-0.415105341,-8.144096496,11.63909236,-4.438692926,66.85965041,-59.81233104,-57.07954217,22.47556666,-6.28731343,-34.6471291,-14.64411849,-49.39566097,-67.06878311,41.70551562,-44.46876013,78.02063804,8.508880383,-59.81233104,102.5445039,57.1968763,-61.52171867,8.427846803,2.57079739,-14.33537313,14.92899786,55.54670744,-85.1479749,60.73551212,-101.1400087,26.21054832,-57.07954217,57.1968763,82.04027087,6.720358648,-35.87926591,38.19756007,0.206925458,58.20140536,46.11854974,-37.19515033,36.99131965,-69.27103457,1.469107856,22.47556666,-61.52171867,6.720358648,145.0218686,-91.24280966,-13.57267387,44.64498596,4.11692524,-91.8415157,118.9781832,-95.92328526,135.3547632,-19.40331101,-6.28731343,8.427846803,-35.87926591,-91.24280966,200.2176291,19.76501376,-3.432549736,-18.57446828,96.30911442,-68.68204699,52.34641067,-110.5215235,-47.48797299,-34.6471291,2.57079739,38.19756007,-13.57267387,19.76501376,148.5740618,5.805043822,66.80651418,82.45316139,-45.67799175,41.48281843,-108.7332612,-33.84361351,-14.64411849,-14.33537313,0.206925458,44.64498596,-3.432549736,5.805043822,135.0249814,34.10491537,-2.190221356,72.65492052,-65.63772225,64.31505892,-63.25315881,-49.39566097,14.92899786,58.20140536,4.11692524,-18.57446828,66.80651418,34.10491537,154.9880336,95.80458809,-27.63074487,52.1710322,-62.98476765,-34.17893757,-67.06878311,55.54670744,46.11854974,-91.8415157,96.30911442,82.45316139,-2.190221356,95.80458809,219.957493,-92.30374434,88.79841781,-178.8787006,-54.29896487,41.70551562,-85.1479749,-37.19515033,118.9781832,-68.68204699,-45.67799175,72.65492052,-27.63074487,-92.30374434,212.0125393,-86.24683163,185.4179574,-21.01389537,-44.46876013,60.73551212,36.99131965,-95.92328526,52.34641067,41.48281843,-65.63772225,52.1710322,88.79841781,-86.24683163,219.18994,-113.0922778,42.38239643,78.02063804,-101.1400087,-69.27103457,135.3547632,-110.5215235,-108.7332612,64.31505892,-62.98476765,-178.8787006,185.4179574,-113.0922778,354.3230188,36.49421873,8.508880383,26.21054832,1.469107856,-19.40331101,-47.48797299,-33.84361351,-63.25315881,-34.17893757,-54.29896487,-21.01389537,42.38239643,36.49421873,155.2100423,carnatic
carnatic,83.27554446,-0.306299422,-6.635947891,-0.616100303,42.94144581,-33.1687346,26.33978627,-28.32624218,5.452416091,7.070548018,-18.22426209,13.18270065,-12.79242933,27.97589986,-13.98795537,-17.21038565,-13.01300386,-4.619534876,-7.766156838,-8.689630639,-17.62156203,-16.92410892,-3.871713766,-1.643448074,6.685075154,3.92281659,-13.98795537,32.19684077,9.487612018,-15.13601641,13.95018467,-24.70985885,-13.02389106,-22.45728171,0.672589418,-14.00143883,5.995566967,-10.31729232,2.012023541,-17.21038565,9.487612018,33.20263783,23.45736734,-23.29968176,19.87875172,-28.99615833,-3.672458383,3.764351105,1.998396929,4.511063628,1.728570177,3.510165451,-13.01300386,-15.13601641,23.45736734,49.13154681,-18.50722231,33.87584207,8.617637362,28.94918344,9.807699601,20.00507957,-9.023666331,14.86666533,-8.490802257,-4.619534876,13.95018467,-23.29968176,-18.50722231,93.35273097,-33.80043114,30.57626223,-10.94168634,13.37082086,-1.049419923,-30.47749069,-28.79758883,-3.49503352,-7.766156838,-24.70985885,19.87875172,33.87584207,-33.80043114,111.0361093,-8.173270154,37.19587886,23.83804842,-4.553147396,17.6565561,-16.22983607,10.71844523,-8.689630639,-13.02389106,-28.99615833,8.617637362,30.57626223,-8.173270154,168.2343634,108.0933365,15.69186337,38.19327129,-32.53572239,22.00827954,-42.06067604,-17.62156203,-22.45728171,-3.672458383,28.94918344,-10.94168634,37.19587886,108.0933365,185.6435223,54.20340451,15.20428017,9.018763996,-22.95093061,-17.17586941,-16.92410892,0.672589418,3.764351105,9.807699601,13.37082086,23.83804842,15.69186337,54.20340451,103.61201,20.27021806,-22.4181011,-40.41762259,-14.45698834,-3.871713766,-14.00143883,1.998396929,20.00507957,-1.049419923,-4.553147396,38.19327129,15.20428017,20.27021806,106.9238512,-15.30403457,27.61254902,-14.52049624,-1.643448074,5.995566967,4.511063628,-9.023666331,-30.47749069,17.6565561,-32.53572239,9.018763996,-22.4181011,-15.30403457,138.2607218,10.56205454,29.04454612,6.685075154,-10.31729232,1.728570177,14.86666533,-28.79758883,-16.22983607,22.00827954,-22.95093061,-40.41762259,27.61254902,10.56205454,134.6200089,4.123208616,3.92281659,2.012023541,3.510165451,-8.490802257,-3.49503352,10.71844523,-42.06067604,-17.17586941,-14.45698834,-14.52049624,29.04454612,4.123208616,68.05024449,carnatic
carnatic,80.93518357,2.83627381,-8.296040453,-5.20265002,40.68406817,-31.22380924,36.74816256,-18.14182848,5.258656487,0.694092304,-15.26356094,14.34477865,-8.70241892,68.19052303,-41.74797809,-48.48484029,-13.16286451,-10.17948378,-24.78156191,3.088357888,-0.607214903,-27.40913631,-6.719344347,-22.62998583,40.42361938,9.765894327,-41.74797809,58.57981131,31.41705777,-18.65550592,20.34607524,1.546226617,-11.22330935,-21.26289677,16.79157576,-21.10135829,38.67095589,-41.12389731,9.275308549,-48.48484029,31.41705777,58.82271205,17.93221913,-15.18371095,31.92982108,-18.52521058,-4.932787067,2.455859115,-9.029580175,23.52409592,-23.85789759,1.300213908,-13.16286451,-18.65550592,17.93221913,63.33791274,0.40963278,21.36688881,-4.702498437,5.80439488,1.407662609,36.23843462,-26.26964114,9.456927165,-30.57069382,-10.17948378,20.34607524,-15.18371095,0.40963278,92.13501111,-33.92857619,12.79861791,-14.45389995,27.90476286,19.0935604,-10.23447671,-31.35493292,-13.99042807,-24.78156191,1.546226617,31.92982108,21.36688881,-33.92857619,129.1846198,-35.73208734,5.701516598,17.16612884,-17.49732204,35.69125457,-31.97330558,14.49996606,3.088357888,-11.22330935,-18.52521058,-4.702498437,12.79861791,-35.73208734,98.12914029,32.04988948,-1.719143144,35.33953979,-46.37683139,45.72706781,-24.30279655,-0.607214903,-21.26289677,-4.932787067,5.80439488,-14.45389995,5.701516598,32.04988948,106.6128113,40.36965163,13.31796132,8.931252431,-12.92520915,0.485335606,-27.40913631,16.79157576,2.455859115,1.407662609,27.90476286,17.16612884,-1.719143144,40.36965163,117.1097083,57.20567218,13.29586291,-59.70521338,-33.34649419,-6.719344347,-21.10135829,-9.029580175,36.23843462,19.0935604,-17.49732204,35.33953979,13.31796132,57.20567218,176.0401595,-45.78087923,5.170162612,-70.98107191,-22.62998583,38.67095589,23.52409592,-26.26964114,-10.23447671,35.69125457,-46.37683139,8.931252431,13.29586291,-45.78087923,140.0703216,-37.85014217,53.51461221,40.42361938,-41.12389731,-23.85789759,9.456927165,-31.35493292,-31.97330558,45.72706781,-12.92520915,-59.70521338,5.170162612,-37.85014217,164.6043933,16.90889827,9.765894327,9.275308549,1.300213908,-30.57069382,-13.99042807,14.49996606,-24.30279655,0.485335606,-33.34649419,-70.98107191,53.51461221,16.90889827,96.75757055,carnatic
carnatic,65.43865872,27.26075826,-5.758143768,-38.08763244,21.26299487,-32.26833061,15.94192166,-21.88452603,3.965247409,-22.52190909,14.74791921,-5.949557988,4.662177759,50.66363408,-30.8959178,-27.55291467,1.495199832,-1.101062632,-17.20932848,-4.439831027,-2.89306813,-30.37328333,-2.023457001,-18.48094419,23.40829562,-18.10397131,-30.8959178,66.30607224,30.15077543,-46.58023245,-11.23206748,13.71038408,-3.163344031,-34.62321075,14.06976168,-26.72560111,32.1654352,-29.27064336,11.54218902,-27.55291467,30.15077543,55.65076374,2.053710002,-67.93384055,56.94705174,-34.40487326,-31.60318253,11.79075049,5.855497988,3.021578523,-19.89379735,26.91145328,1.495199832,-46.58023245,2.053710002,96.93572636,14.87519571,-7.490210111,-6.948829606,36.53233881,-3.08379594,35.82977681,-37.86868626,22.16269041,12.68276845,-1.101062632,-11.23206748,-67.93384055,14.87519571,243.5040946,-139.938726,92.96236411,77.7670119,4.804876284,-17.11505945,-3.632824255,23.00492469,-36.55970304,-17.20932848,13.71038408,56.94705174,-7.490210111,-139.938726,241.5182521,-31.99558607,-31.653282,23.73144111,-23.70553465,38.82784924,-47.63552809,13.84552622,-4.439831027,-3.163344031,-34.40487326,-6.948829606,92.96236411,-31.99558607,140.0370044,56.12407565,-0.637138324,21.59147848,7.12592343,-11.11889101,-30.75645453,-2.89306813,-34.62321075,-31.60318253,36.53233881,77.7670119,-31.653282,56.12407565,136.8081956,42.28177728,2.476016177,7.985793224,13.75269912,-19.73777182,-30.37328333,14.06976168,11.79075049,-3.08379594,4.804876284,23.73144111,-0.637138324,42.28177728,106.3623421,9.110969849,7.268079509,-4.178332618,29.15836516,-2.023457001,-26.72560111,5.855497988,35.82977681,-17.11505945,-23.70553465,21.59147848,2.476016177,9.110969849,147.4651524,-47.21331552,14.82359048,24.34255088,-18.48094419,32.1654352,3.021578523,-37.86868626,-3.632824255,38.82784924,7.12592343,7.985793224,7.268079509,-47.21331552,143.7680836,-3.201129987,-11.98737943,23.40829562,-29.27064336,-19.89379735,22.16269041,23.00492469,-47.63552809,-11.11889101,13.75269912,-4.178332618,14.82359048,-3.201129987,103.992088,34.8964326,-18.10397131,11.54218902,26.91145328,12.68276845,-36.55970304,13.84552622,-30.75645453,-19.73777182,29.15836516,24.34255088,-11.98737943,34.8964326,109.4444203,carnatic
